ID,username,password,email,passconfirm,role
1,100002779,12345678,100002779@gmail.com,12345678,patient
2,100005869,12345678,100005869@gmail.com,12345678,patient
3,100021968,12345678,100021968@gmail.com,12345678,patient
4,100023184,12345678,100023184@gmail.com,12345678,patient
5,100036864,12345678,100036864@gmail.com,12345678,patient
6,DEN001,12345678,den001@gmail.com,12345678,dentist
7,DEN002,12345678,den002@gmail.com,12345678,dentist
8,DEN003,12345678,den003@gmail.com,12345678,dentist
9,DEN004,12345678,den004@gmail.com,12345678,dentist
10,DEN005,12345678,den005@gmail.com,12345678,dentist
11,STA001,12345678,sta001@gmail.com,12345678,staff
12,STA002,12345678,sta002@gmail.com,12345678,staff
13,STA003,12345678,sta003@gmail.com,12345678,staff
14,STA004,12345678,sta004@gmail.com,12345678,staff
15,STA005,12345678,sta005@gmail.com,12345678,staff
